#--- Experiment --------------------------------------------------------------------------
#KILLIFISH RESPIROMETRY 1 JAN 2
#CHA1: 28PPT 10C
#CHA2: 28PPT 10C
#CHA3: 11PPT 10C
#CHA4: 11PPT 10C
#CHB1: 28PPT 24C
#CHB2: 28PPT 24C
#CHB3: 11PPT 24C
#CHB4: 11PPT 24C
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#LITTLELAB1
#--- Instrument --------------------------------------------------------------------------
#Device: FIRESTING 02 B [B] FSO2-C4 SN:24E144015D64AC82 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [B Ch.3] - Oxygen Sensor - XA7-511-211 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	10% (A)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	2000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	2025-01-20	2000-12-31	22.117332	51.100000	0.804000	0.122000	4000	-0.056000	0.969000	0.900000	0.000000	-0.000303	0.000000	0.000000	fixed f	1017.034973	23.985535	100.000000	20.000000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [B T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [B P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [B Ch.3 Main]	Time [B Ch.3 Main]	 dt (s) [B Ch.3 Main]	Oxygen (%air sat.) [B Ch.3 Main]	dphi (°) [B Ch.3 Main]	Signal Intensity (mV) [B Ch.3 Main]	Ambient Light (mV) [B Ch.3 Main]	Status [B Ch.3 Main]	Date [B Ch.3 CompT]	Time [B Ch.3 CompT]	 dt (s) [B Ch.3 CompT]	Sample Temp. (°C) [B Ch.3 CompT]	Status [B Ch.3 CompT]	Date [B Ch.3 CompP]	Time [B Ch.3 CompP]	 dt (s) [B Ch.3 CompP]	Pressure (mbar) [B Ch.3 CompP]	Status [B Ch.3 CompP]
20-01-2025	18:18:00.583	2.171	100.132	22.105	317	0	OK	20-01-2025	18:18:00.583	2.171	23.942	OK	20-01-2025	18:18:00.583	2.171	1017	OK
20-01-2025	18:18:05.581	7.169	100.062	22.113	317	0	OK	20-01-2025	18:18:05.581	7.169	23.941	OK	20-01-2025	18:18:05.581	7.169	1017	OK
20-01-2025	18:18:10.580	12.168	100.180	22.105	317	0	OK	20-01-2025	18:18:10.580	12.168	23.885	OK	20-01-2025	18:18:10.580	12.168	1017	OK
20-01-2025	18:18:15.588	17.176	100.080	22.112	317	0	OK	20-01-2025	18:18:15.588	17.176	23.921	OK	20-01-2025	18:18:15.588	17.176	1017	OK
20-01-2025	18:18:20.585	22.173	100.151	22.109	317	0	OK	20-01-2025	18:18:20.585	22.173	23.872	OK	20-01-2025	18:18:20.585	22.173	1017	OK
20-01-2025	18:18:25.584	27.172	100.177	22.105	317	0	OK	20-01-2025	18:18:25.584	27.172	23.881	OK	20-01-2025	18:18:25.584	27.172	1017	OK
20-01-2025	18:18:30.582	32.170	100.077	22.118	317	0	OK	20-01-2025	18:18:30.582	32.170	23.868	OK	20-01-2025	18:18:30.582	32.170	1017	OK
20-01-2025	18:18:35.583	37.172	100.134	22.109	317	0	OK	20-01-2025	18:18:35.583	37.172	23.901	OK	20-01-2025	18:18:35.583	37.172	1017	OK
20-01-2025	18:18:40.586	42.174	100.120	22.109	317	0	OK	20-01-2025	18:18:40.586	42.174	23.916	OK	20-01-2025	18:18:40.586	42.174	1017	OK
20-01-2025	18:18:45.587	47.175	100.088	22.110	317	0	OK	20-01-2025	18:18:45.587	47.175	23.939	OK	20-01-2025	18:18:45.587	47.175	1017	OK
20-01-2025	18:18:50.587	52.175	100.037	22.116	317	0	OK	20-01-2025	18:18:50.587	52.175	23.938	OK	20-01-2025	18:18:50.587	52.175	1017	OK
20-01-2025	18:18:55.585	57.173	100.110	22.111	317	0	OK	20-01-2025	18:18:55.585	57.173	23.903	OK	20-01-2025	18:18:55.585	57.173	1017	OK
20-01-2025	18:19:00.588	62.176	100.182	22.101	317	1	OK	20-01-2025	18:19:00.588	62.176	23.926	OK	20-01-2025	18:19:00.588	62.176	1017	OK
20-01-2025	18:19:05.585	67.173	100.137	22.109	317	0	OK	20-01-2025	18:19:05.585	67.173	23.891	OK	20-01-2025	18:19:05.585	67.173	1017	OK
20-01-2025	18:19:10.585	72.173	100.054	22.116	316	0	OK	20-01-2025	18:19:10.585	72.173	23.923	OK	20-01-2025	18:19:10.585	72.173	1017	OK
20-01-2025	18:19:15.592	77.180	100.108	22.110	317	0	OK	20-01-2025	18:19:15.592	77.180	23.908	OK	20-01-2025	18:19:15.592	77.180	1017	OK
20-01-2025	18:19:20.588	82.176	100.045	22.116	317	0	OK	20-01-2025	18:19:20.588	82.176	23.929	OK	20-01-2025	18:19:20.588	82.176	1017	OK
20-01-2025	18:19:25.590	87.178	100.066	22.113	316	0	OK	20-01-2025	18:19:25.590	87.178	23.941	OK	20-01-2025	18:19:25.590	87.178	1017	OK
20-01-2025	18:19:30.592	92.180	100.118	22.110	317	0	OK	20-01-2025	18:19:30.592	92.180	23.901	OK	20-01-2025	18:19:30.592	92.180	1017	OK
20-01-2025	18:19:35.583	97.171	100.165	22.102	317	0	OK	20-01-2025	18:19:35.583	97.171	23.929	OK	20-01-2025	18:19:35.583	97.171	1017	OK
20-01-2025	18:19:40.590	102.178	99.967	22.124	317	0	OK	20-01-2025	18:19:40.590	102.178	23.925	OK	20-01-2025	18:19:40.590	102.178	1017	OK
20-01-2025	18:19:45.592	107.180	100.145	22.114	317	0	OK	20-01-2025	18:19:45.592	107.180	23.823	OK	20-01-2025	18:19:45.592	107.180	1017	OK
20-01-2025	18:19:50.591	112.179	100.137	22.113	317	0	OK	20-01-2025	18:19:50.591	112.179	23.841	OK	20-01-2025	18:19:50.591	112.179	1017	OK
20-01-2025	18:19:55.607	117.195	100.061	22.116	317	0	OK	20-01-2025	18:19:55.607	117.195	23.903	OK	20-01-2025	18:19:55.607	117.195	1017	OK
20-01-2025	18:20:00.589	122.177	100.058	22.118	317	0	OK	20-01-2025	18:20:00.589	122.177	23.873	OK	20-01-2025	18:20:00.589	122.177	1017	OK
20-01-2025	18:20:05.593	127.181	100.069	22.119	317	0	OK	20-01-2025	18:20:05.593	127.181	23.862	OK	20-01-2025	18:20:05.593	127.181	1017	OK
20-01-2025	18:20:10.589	132.177	100.094	22.116	317	0	OK	20-01-2025	18:20:10.589	132.177	23.867	OK	20-01-2025	18:20:10.589	132.177	1017	OK
20-01-2025	18:20:15.589	137.177	100.135	22.110	317	0	OK	20-01-2025	18:20:15.589	137.177	23.879	OK	20-01-2025	18:20:15.589	137.177	1017	OK
20-01-2025	18:20:20.587	142.175	100.115	22.115	316	0	OK	20-01-2025	18:20:20.587	142.175	23.844	OK	20-01-2025	18:20:20.587	142.175	1017	OK
20-01-2025	18:20:25.590	147.178	100.040	22.118	316	0	OK	20-01-2025	18:20:25.590	147.178	23.914	OK	20-01-2025	18:20:25.590	147.178	1017	OK
20-01-2025	18:20:30.588	152.176	100.097	22.111	316	0	OK	20-01-2025	18:20:30.588	152.176	23.916	OK	20-01-2025	18:20:30.588	152.176	1017	OK
20-01-2025	18:20:35.589	157.177	100.178	22.106	316	0	OK	20-01-2025	18:20:35.589	157.177	23.873	OK	20-01-2025	18:20:35.589	157.177	1017	OK
20-01-2025	18:20:40.591	162.179	100.060	22.114	316	0	OK	20-01-2025	18:20:40.591	162.179	23.921	OK	20-01-2025	18:20:40.591	162.179	1017	OK
20-01-2025	18:20:45.607	167.195	100.054	22.111	317	0	OK	20-01-2025	18:20:45.607	167.195	23.956	OK	20-01-2025	18:20:45.607	167.195	1017	OK
20-01-2025	18:20:50.592	172.180	100.070	22.111	316	0	OK	20-01-2025	18:20:50.592	172.180	23.948	OK	20-01-2025	18:20:50.592	172.180	1017	OK
20-01-2025	18:20:55.590	177.178	100.093	22.111	317	0	OK	20-01-2025	18:20:55.590	177.178	23.924	OK	20-01-2025	18:20:55.590	177.178	1017	OK
