#--- Experiment --------------------------------------------------------------------------
#KILLIFISH RESPIROMETRY 1 JAN 2
#CHA1: 28PPT 10C
#CHA2: 28PPT 10C
#CHA3: 11PPT 10C
#CHA4: 11PPT 10C
#CHB1: 28PPT 24C
#CHB2: 28PPT 24C
#CHB3: 11PPT 24C
#CHB4: 11PPT 24C
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#LITTLELAB1
#--- Instrument --------------------------------------------------------------------------
#Device: FIRESTING 02 B [B] FSO2-C4 SN:24E144015D64AC82 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [B Ch.1] - Oxygen Sensor - XA7-511-211 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	10% (A)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	2000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	2025-01-20	2024-11-27	22.126400	50.965000	0.804000	0.122000	4000	-0.056000	0.969000	0.900000	0.000000	-0.000303	0.000000	0.000000	fixed f	1016.932983	24.010933	100.000000	23.123000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [B T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [B P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [B Ch.1 Main]	Time [B Ch.1 Main]	 dt (s) [B Ch.1 Main]	Oxygen (%air sat.) [B Ch.1 Main]	dphi (°) [B Ch.1 Main]	Signal Intensity (mV) [B Ch.1 Main]	Ambient Light (mV) [B Ch.1 Main]	Status [B Ch.1 Main]	Date [B Ch.1 CompT]	Time [B Ch.1 CompT]	 dt (s) [B Ch.1 CompT]	Sample Temp. (°C) [B Ch.1 CompT]	Status [B Ch.1 CompT]	Date [B Ch.1 CompP]	Time [B Ch.1 CompP]	 dt (s) [B Ch.1 CompP]	Pressure (mbar) [B Ch.1 CompP]	Status [B Ch.1 CompP]
20-01-2025	18:18:00.315	1.903	99.998	22.130	319	0	OK	20-01-2025	18:18:00.315	1.903	23.941	OK	20-01-2025	18:18:00.315	1.903	1017	OK
20-01-2025	18:18:05.315	6.903	100.004	22.129	320	0	OK	20-01-2025	18:18:05.315	6.903	23.942	OK	20-01-2025	18:18:05.315	6.903	1017	OK
20-01-2025	18:18:10.314	11.902	100.008	22.134	320	0	OK	20-01-2025	18:18:10.314	11.902	23.885	OK	20-01-2025	18:18:10.314	11.902	1017	OK
20-01-2025	18:18:15.316	16.904	100.019	22.130	319	0	OK	20-01-2025	18:18:15.316	16.904	23.919	OK	20-01-2025	18:18:15.316	16.904	1017	OK
20-01-2025	18:18:20.315	21.903	100.022	22.133	319	0	OK	20-01-2025	18:18:20.315	21.903	23.876	OK	20-01-2025	18:18:20.315	21.903	1017	OK
20-01-2025	18:18:25.314	26.902	100.020	22.133	319	1	OK	20-01-2025	18:18:25.314	26.902	23.875	OK	20-01-2025	18:18:25.314	26.902	1017	OK
20-01-2025	18:18:30.316	31.904	100.027	22.133	319	0	OK	20-01-2025	18:18:30.316	31.904	23.868	OK	20-01-2025	18:18:30.316	31.904	1017	OK
20-01-2025	18:18:35.316	36.904	99.970	22.136	319	0	OK	20-01-2025	18:18:35.316	36.904	23.900	OK	20-01-2025	18:18:35.316	36.904	1017	OK
20-01-2025	18:18:40.317	41.905	100.015	22.130	319	0	OK	20-01-2025	18:18:40.317	41.905	23.916	OK	20-01-2025	18:18:40.317	41.905	1017	OK
20-01-2025	18:18:45.315	46.904	99.960	22.135	319	0	OK	20-01-2025	18:18:45.315	46.904	23.938	OK	20-01-2025	18:18:45.315	46.904	1017	OK
20-01-2025	18:18:50.317	51.905	99.905	22.140	319	0	OK	20-01-2025	18:18:50.317	51.905	23.940	OK	20-01-2025	18:18:50.317	51.905	1017	OK
20-01-2025	18:18:55.315	56.904	99.974	22.136	319	0	OK	20-01-2025	18:18:55.315	56.904	23.902	OK	20-01-2025	18:18:55.315	56.904	1017	OK
20-01-2025	18:19:00.318	61.906	99.961	22.136	319	0	OK	20-01-2025	18:19:00.318	61.906	23.925	OK	20-01-2025	18:19:00.318	61.906	1017	OK
20-01-2025	18:19:05.318	66.906	99.991	22.135	319	0	OK	20-01-2025	18:19:05.318	66.906	23.891	OK	20-01-2025	18:19:05.318	66.906	1017	OK
20-01-2025	18:19:10.318	71.906	99.959	22.136	319	1	OK	20-01-2025	18:19:10.318	71.906	23.924	OK	20-01-2025	18:19:10.318	71.906	1017	OK
20-01-2025	18:19:15.318	76.906	99.999	22.133	319	0	OK	20-01-2025	18:19:15.318	76.906	23.908	OK	20-01-2025	18:19:15.318	76.906	1017	OK
